FL_DATE,AIRLINE,AIRLINE_CODE,ORIGIN_CITY,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,Delay_actual
4/1/2020,Delta Air Lines Inc.,DL,"Fort Myers, FL","Atlanta, GA",1618,1626.0,8.0,86.0,1752.0,1915.0,6.0,1810,1921.0,71.0,112.0,175.0,83.0,515,0.0,0.0,63.0,0.0,8.0,2
28/12/2021,United Air Lines Inc.,UA,"Eagle, CO","Newark, NJ",1115,1342.0,147.0,38.0,1420.0,1920.0,13.0,1713,1933.0,140.0,238.0,231.0,180.0,1725,39.0,0.0,0.0,0.0,101.0,2
21/6/2021,American Airlines Inc.,AA,"Missoula, MT","Dallas/Fort Worth, TX",1333,1506.0,93.0,22.0,1528.0,1916.0,4.0,1753,1920.0,87.0,200.0,194.0,168.0,1320,0.0,0.0,35.0,0.0,52.0,2
9/7/2023,United Air Lines Inc.,UA,"Sacramento, CA","Chicago, IL",2359,130.0,91.0,15.0,145.0,714.0,14.0,605,728.0,83.0,246.0,238.0,209.0,1781,83.0,0.0,0.0,0.0,0.0,2
19/5/2019,United Air Lines Inc.,UA,"Chicago, IL","Minneapolis, MN",1605,1949.0,224.0,36.0,2025.0,2120.0,4.0,1732,2124.0,232.0,87.0,95.0,55.0,334,4.0,0.0,8.0,0.0,220.0,2
6/4/2020,SkyWest Airlines Inc.,OO,"Detroit, MI","Chicago, IL",821,956.0,95.0,14.0,1010.0,954.0,5.0,839,959.0,80.0,78.0,63.0,44.0,235,80.0,0.0,0.0,0.0,0.0,2
17/5/2021,Southwest Airlines Co.,WN,"Orlando, FL","Houston, TX",1515,1627.0,72.0,15.0,1642.0,1818.0,3.0,1650,1821.0,91.0,155.0,174.0,156.0,849,13.0,0.0,19.0,0.0,59.0,2
17/1/2020,United Air Lines Inc.,UA,"New York, NY","Houston, TX",1546,1723.0,97.0,18.0,1741.0,2015.0,7.0,1900,2022.0,82.0,254.0,239.0,214.0,1416,4.0,0.0,0.0,0.0,78.0,2
14/12/2021,SkyWest Airlines Inc.,OO,"Redding, CA","San Francisco, CA",1959,2125.0,86.0,14.0,2139.0,2220.0,3.0,2109,2223.0,74.0,70.0,58.0,41.0,199,74.0,0.0,0.0,0.0,0.0,2
19/3/2022,Southwest Airlines Co.,WN,"Houston, TX","Austin, TX",2135,2252.0,77.0,15.0,2307.0,2335.0,5.0,2225,2340.0,75.0,50.0,48.0,28.0,148,60.0,0.0,0.0,0.0,15.0,2
2/1/2022,Frontier Airlines Inc.,F9,"Nashville, TN","Philadelphia, PA",1957,2103.0,66.0,58.0,2201.0,26.0,7.0,2258,33.0,95.0,121.0,150.0,85.0,675,0.0,0.0,53.0,0.0,42.0,2
26/5/2023,United Air Lines Inc.,UA,"Denver, CO","Tampa, FL",1745,2221.0,276.0,12.0,2233.0,322.0,6.0,2315,328.0,253.0,210.0,187.0,169.0,1506,38.0,0.0,0.0,0.0,215.0,2
12/5/2021,American Airlines Inc.,AA,"San Antonio, TX","Dallas/Fort Worth, TX",1438,1513.0,35.0,27.0,1540.0,1625.0,45.0,1555,1710.0,75.0,77.0,117.0,45.0,247,4.0,0.0,40.0,0.0,31.0,2
4/5/2023,PSA Airlines Inc.,OH,"Greenville, NC","Charlotte, NC",1757,1930.0,93.0,9.0,1939.0,2023.0,7.0,1915,2030.0,75.0,78.0,60.0,44.0,203,23.0,0.0,0.0,0.0,52.0,2
18/6/2019,Envoy Air,MQ,"Roanoke, VA","New York, NY",1505,1707.0,122.0,28.0,1735.0,1908.0,18.0,1643,1926.0,163.0,98.0,139.0,93.0,405,0.0,0.0,100.0,0.0,63.0,2
23/10/2020,Spirit Air Lines,NK,"Detroit, MI","Orlando, FL",1600,1934.0,214.0,10.0,1944.0,2201.0,7.0,1842,2208.0,206.0,162.0,154.0,137.0,957,0.0,0.0,206.0,0.0,0.0,2
18/7/2019,American Airlines Inc.,AA,"Miami, FL","Chicago, IL",1805,2049.0,164.0,16.0,2105.0,2239.0,11.0,2041,2250.0,129.0,216.0,181.0,154.0,1197,63.0,0.0,0.0,0.0,66.0,2
2/10/2022,Alaska Airlines Inc.,AS,"Ontario, CA","Seattle, WA",2030,2156.0,86.0,24.0,2220.0,27.0,8.0,2315,35.0,80.0,165.0,159.0,127.0,956,80.0,0.0,0.0,0.0,0.0,2
17/2/2022,Allegiant Air,G4,"Sarasota/Bradenton, FL","Flint, MI",1827,1958.0,91.0,13.0,2011.0,2230.0,4.0,2118,2234.0,76.0,171.0,156.0,139.0,1075,0.0,13.0,0.0,0.0,63.0,2
5/2/2023,United Air Lines Inc.,UA,"Austin, TX","Houston, TX",530,739.0,129.0,19.0,758.0,831.0,12.0,633,843.0,130.0,63.0,64.0,33.0,140,0.0,0.0,130.0,0.0,0.0,2
24/2/2023,American Airlines Inc.,AA,"Dallas/Fort Worth, TX","Phoenix, AZ",1220,1605.0,225.0,17.0,1622.0,1731.0,2.0,1358,1733.0,215.0,158.0,148.0,129.0,868,38.0,0.0,0.0,0.0,177.0,2
8/8/2022,Delta Air Lines Inc.,DL,"Tampa, FL","Minneapolis, MN",805,923.0,78.0,11.0,934.0,1121.0,6.0,1026,1127.0,61.0,201.0,184.0,167.0,1306,61.0,0.0,0.0,0.0,0.0,2
29/8/2020,Southwest Airlines Co.,WN,"San Antonio, TX","Dallas, TX",1010,1126.0,76.0,8.0,1134.0,1221.0,3.0,1120,1224.0,64.0,70.0,58.0,47.0,247,0.0,0.0,0.0,0.0,64.0,2
26/10/2020,Envoy Air,MQ,"Alexandria, LA","Dallas/Fort Worth, TX",626,750.0,84.0,22.0,812.0,901.0,19.0,745,920.0,95.0,79.0,90.0,49.0,285,0.0,84.0,11.0,0.0,0.0,2
24/6/2022,Southwest Airlines Co.,WN,"St. Louis, MO","Long Beach, CA",1215,1322.0,67.0,10.0,1332.0,1458.0,3.0,1355,1501.0,66.0,220.0,219.0,206.0,1581,3.0,0.0,0.0,0.0,63.0,2
