FL_DATE,AIRLINE,ORIGIN_CITY,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,Delay_actual
31/8/2023,American Airlines Inc.,"Grand Rapids, MI","Dallas/Fort Worth, TX",1909,1859,-10,13,1912,2010,11,2050,2021,-29,161,142,118,931,0,0,0,0,0,0
31/8/2023,Allegiant Air,"Laredo, TX","Las Vegas, NV",2224,2313,49,14,2327,2354,12,2310,6,56,166,173,147,1092,32,0,7,0,17,1
31/8/2023,Envoy Air,"Santa Rosa, CA","Phoenix, AZ",1231,1228,-3,15,1243,1422,10,1445,1432,-13,134,124,99,699,0,0,0,0,0,0
31/8/2023,American Airlines Inc.,"Dallas/Fort Worth, TX","Honolulu, HI",937,939,2,11,950,1216,5,1239,1221,-18,482,462,446,3784,0,0,0,0,0,0
31/8/2023,JetBlue Airways,"New York, NY","Atlanta, GA",935,940,5,18,958,1149,8,1204,1157,-7,149,137,111,760,0,0,0,0,0,0
31/8/2023,Southwest Airlines Co.,"Chicago, IL","Austin, TX",1740,1737,-3,24,1801,2007,3,2010,2010,0,150,153,126,972,0,0,0,0,0,0
31/8/2023,Southwest Airlines Co.,"Los Angeles, CA","Las Vegas, NV",1230,1239,9,24,1303,1347,5,1340,1352,12,70,73,44,236,0,0,0,0,0,0
31/8/2023,Delta Air Lines Inc.,"Huntsville, AL","Atlanta, GA",1445,1442,-3,10,1452,1620,5,1648,1625,-23,63,43,28,151,0,0,0,0,0,0
31/8/2023,Southwest Airlines Co.,"Baltimore, MD","Indianapolis, IN",1110,1110,0,11,1121,1245,3,1255,1248,-7,105,98,84,516,0,0,0,0,0,0
31/8/2023,American Airlines Inc.,"San Juan, PR","Charlotte, NC",810,803,-7,14,817,1139,8,1200,1147,-13,230,224,202,1475,0,0,0,0,0,0
